startup_name,industry,city,state,funding_amount_usd,funding_round,investors,date
NLP Solutions,Automotive,Nagpur,Maharashtra,10000000.0,Pre-Series A,"AngelList India, Kalaari Capital",2024-10-24
RideShare India,SaaS,Jaipur,Rajasthan,943361516559.206,Growth Stage,Alpha Wave Incubation,2022-02-16
Insurance Plus,Enterprise Software,Nagpur,Maharashtra,10000000.0,Angel,"Chiratae Ventures, Blume Ventures, Nexus Venture Partners",2018-11-18
BeautyBox,Real Estate,Bangalore,Karnataka,10000000.0,Pre-Series A,"500 Startups, Lightspeed Venture Partners, Kalaari Capital",2022-04-05
DigitalArt Platform,Biotechnology,Jaipur,Rajasthan,10000000.0,Angel,"Y Combinator, Kalaari Capital, Accel Partners",2024-08-08
HealthCare Plus,Agritech,Delhi,Delhi,10000000.0,Private Equity,"Google Ventures, SAIF Partners, Falcon Edge",2024-08-29
Insurance Plus,Travel & Hospitality,Ahmedabad,Gujarat,10000000.0,Bridge Round,Google Ventures,2023-12-17
SmartCity Solutions,Fintech,Visakhapatnam,Andhra Pradesh,2030606899409.4995,Series A,"Alpha Wave Incubation, AngelList India",2017-07-21
DataScience Academy,Consumer Services,Indore,Madhya Pradesh,3351888438919.939,Series D,"500 Startups, Matrix Partners, General Catalyst",2020-05-20
SemiconductorHub,Real Estate,Kochi,Kerala,10000000.0,Private Equity,"Lightspeed Venture Partners, Steadview Capital",2023-03-22
DroneDelivery,Social Media,Nagpur,Maharashtra,4724249918720.662,Series C,"Blume Ventures, Steadview Capital, Naspers",2023-01-06
Insurance Plus,Blockchain,Lucknow,Uttar Pradesh,10000000.0,Bridge Round,DST Global,2023-10-08
BiometricAuth,HR Tech,Lucknow,Uttar Pradesh,10000000.0,Private Equity,"Insight Partners, Blume Ventures",2016-11-02
DeepLearning India,E-commerce,Kolkata,West Bengal,1087344555907.6555,Series D,"Chiratae Ventures, General Catalyst",2023-05-15
HealthCare Plus,Marketing Tech,Bangalore,Karnataka,10000000.0,Pre-Series A,General Catalyst,2017-06-08
TravelBuddy,Hardware,Nagpur,Maharashtra,10000000.0,Series A,"500 Startups, SAIF Partners, Amazon",2021-09-14
CRM Platform,Agritech,Bangalore,Karnataka,4376703785799.7476,Debt Financing,"Steadview Capital, Google Ventures",2023-12-14
PetCare,Blockchain,Lucknow,Uttar Pradesh,10000000.0,Series A,"Tencent, Blume Ventures, SAIF Partners",2024-11-03
WaterPurify,Social Media,Gurgaon,Haryana,10000000.0,Series D,Google Ventures,2019-06-02
ShopEasy,Fashion & Lifestyle,Bhopal,Madhya Pradesh,10000000.0,Angel,"Accel Partners, DST Global",2024-09-29
SportsFit,Real Estate,Lucknow,Uttar Pradesh,10000000.0,Series B,"Nexus Venture Partners, Amazon",2020-02-07
SmartWatch India,Fashion & Lifestyle,Hyderabad,Telangana,10000000.0,Angel,"Amazon, Insight Partners",2017-09-25
PropertyFinder,Biotechnology,Jaipur,Rajasthan,10000000.0,Growth Stage,"Y Combinator, Steadview Capital, Alibaba",2022-03-15
Insurance Plus,Automotive,Bangalore,Karnataka,10000000.0,Debt Financing,Kalaari Capital,2022-11-12
AutoParts Direct,Logistics,Indore,Madhya Pradesh,10000000.0,Private Equity,Steadview Capital,2023-03-05
RoboticsTech,Healthtech,Kolkata,West Bengal,10000000.0,Pre-Series A,"Matrix Partners, Techstars",2019-03-27
GreenBuild,SaaS,Jaipur,Rajasthan,10000000.0,Seed,Lightspeed Venture Partners,2023-04-26
WaterPurify,Agritech,Lucknow,Uttar Pradesh,10000000.0,Seed,Insight Partners,2018-10-26
FitTrack,Automotive,Indore,Madhya Pradesh,10000000.0,Private Equity,Tiger Global,2020-07-25
AI Analytics,HR Tech,Mumbai,Maharashtra,10000000.0,Series A,,2021-12-04
LabTest Now,Logistics,Hyderabad,Telangana,10000000.0,Angel,"Sequoia Capital, 500 Startups",2020-08-11
BlockchainHub,HR Tech,Gurgaon,Haryana,10000000.0,Series B,"Matrix Partners, Kalaari Capital",2021-09-08
SalesForce India,IoT,Nagpur,Maharashtra,10000000.0,Growth Stage,"Sequoia Capital, Y Combinator, Alpha Wave Incubation",2017-05-01
Insurance Plus,Agritech,Pune,Maharashtra,10000000.0,Series A,Falcon Edge,2015-05-08
JobPortal Pro,Agritech,Mumbai,Maharashtra,10000000.0,Series D,"Matrix Partners, Sequoia Capital",2024-03-13
NLP Solutions,Hardware,Coimbatore,Tamil Nadu,10000000.0,Series A,Elevation Capital,2017-09-18
Influencer Network,AI/ML,Bangalore,Karnataka,8618517098269.104,Angel,"Google Ventures, Lightspeed Venture Partners, Alibaba",2018-05-10
SportsFit,Blockchain,Mumbai,Maharashtra,10000000.0,Private Equity,"Accel Partners, Kalaari Capital, Y Combinator",2015-07-01
QuickGrocery,Gaming,Coimbatore,Tamil Nadu,10000000.0,Series C,"Nexus Venture Partners, Steadview Capital, SoftBank Vision Fund",2022-05-13
Firewall Tech,Blockchain,Kolkata,West Bengal,5087487377202.462,Growth Stage,Elevation Capital,2018-12-19
DoctorConnect,Renewable Energy,Chandigarh,Chandigarh,10000000.0,Pre-Series A,Techstars,2021-12-31
FoodDelivery Express,Real Estate,Gurgaon,Haryana,10000000.0,Private Equity,Tencent,2023-06-04
Insurance Plus,Consumer Services,Hyderabad,Telangana,10000000.0,Pre-Series A,Kalaari Capital,2022-05-24
GameZone,Analytics,Gurgaon,Haryana,10000000.0,Growth Stage,"SoftBank Vision Fund, 500 Startups, AngelList India",2023-03-30
AI Analytics,Healthtech,Jaipur,Rajasthan,10000000.0,Pre-Series A,"Y Combinator, Alibaba, Techstars",2024-11-21
CryptoTrade India,Biotechnology,Kochi,Kerala,11447190812258.49,Seed,Kalaari Capital,2022-03-01
LabTest Now,Automotive,Surat,Gujarat,10000000.0,Series E,"Tiger Global, Nexus Venture Partners, Y Combinator",2023-03-15
WasteManagement Co,Hardware,Nagpur,Maharashtra,10000000.0,Bridge Round,"Lightspeed Venture Partners, Accel Partners, Blume Ventures",2023-12-18
AgriTech Innovations,Consumer Services,Gurgaon,Haryana,10000000.0,Angel,Naspers,2022-03-13
BookMyService,Analytics,Chandigarh,Chandigarh,10000000.0,Angel,Google Ventures,2016-09-02
CryptoTrade India,Consumer Services,Chandigarh,Chandigarh,10000000.0,Angel,"Alibaba, Falcon Edge, Tencent",2017-09-04
SpeechTech,AI/ML,Gurgaon,Haryana,493348509833.839,Series D,"Matrix Partners, Y Combinator, Lightspeed Venture Partners",2017-10-16
IoT Solutions,Cloud Services,Chennai,Tamil Nadu,2970758549352.419,Growth Stage,"Sequoia Capital, SAIF Partners",2017-02-03
AI Analytics,Renewable Energy,Nagpur,Maharashtra,10000000.0,Angel,Alibaba,2019-12-13
PropertyFinder,Healthtech,Indore,Madhya Pradesh,10000000.0,Seed,"Chiratae Ventures, Tencent, Nexus Venture Partners",2021-09-13
DoctorConnect,Cloud Services,Kolkata,West Bengal,48187853632976.1,Series E,"DST Global, Naspers, Matrix Partners",2018-09-18
FitTrack,HR Tech,Coimbatore,Tamil Nadu,7444718943075.453,Bridge Round,"Tiger Global, Techstars",2022-12-08
EventPlanner,Healthtech,Surat,Gujarat,10000000.0,Growth Stage,"Sequoia Capital, Kalaari Capital, Tencent",2016-12-30
PasswordManager,Cloud Services,Bangalore,Karnataka,3961277353690.068,Series B,"Kalaari Capital, Amazon, Sequoia Capital",2019-06-22
VerticalGardens,Social Media,Coimbatore,Tamil Nadu,10000000.0,Series D,"Nexus Venture Partners, Alpha Wave Incubation",2023-01-27
DroneDelivery,Healthtech,Surat,Gujarat,12943571055587.543,Series D,Kalaari Capital,2024-05-25
CyberSecurity India,Fashion & Lifestyle,Gurgaon,Haryana,10000000.0,Series D,Tencent,2023-10-31
ShopEasy,SaaS,Kochi,Kerala,10000000.0,Series A,"Insight Partners, Chiratae Ventures, DST Global",2016-10-21
BatteryTech,IoT,Bhopal,Madhya Pradesh,10000000.0,Pre-Series A,"Alibaba, Elevation Capital",2022-11-17
JobPortal Pro,Healthtech,Lucknow,Uttar Pradesh,10000000.0,Series A,Elevation Capital,2019-10-04
FashionForward,CleanTech,Hyderabad,Telangana,10000000.0,Pre-Series A,"Elevation Capital, Steadview Capital, Sequoia Capital",2017-11-26
RideShare India,E-commerce,Ahmedabad,Gujarat,10000000.0,Series A,SAIF Partners,2018-06-24
MediaHub,Enterprise Software,Surat,Gujarat,1948249109927.5908,Debt Financing,SAIF Partners,2023-10-30
ShopEasy,Renewable Energy,Hyderabad,Telangana,10000000.0,Debt Financing,"Amazon, AngelList India, Matrix Partners",2015-02-20
PharmEasy Online,Fintech,Pune,Maharashtra,10000000.0,Series B,Alpha Wave Incubation,2021-11-08
DoctorConnect,SaaS,Pune,Maharashtra,10000000.0,Debt Financing,"Naspers, 500 Startups, Falcon Edge",2018-06-30
FoodDelivery Express,Marketing Tech,Jaipur,Rajasthan,3741713154940.8096,Private Equity,"Alibaba, SAIF Partners",2023-10-25
CloudStorage Pro,Travel & Hospitality,Pune,Maharashtra,10000000.0,Seed,"Matrix Partners, Tencent",2023-09-09
AutoParts Direct,Cybersecurity,Bangalore,Karnataka,7072776561406.664,Bridge Round,Falcon Edge,2022-04-30
NanoTech India,AI/ML,Nagpur,Maharashtra,10000000.0,Angel,"Lightspeed Venture Partners, Tencent",2016-09-27
FashionForward,Real Estate,Chandigarh,Chandigarh,8308849650020.028,Angel,"Kalaari Capital, Tiger Global, Matrix Partners",2021-06-14
EnergyEfficient,Healthtech,Jaipur,Rajasthan,10000000.0,Series E,SoftBank Vision Fund,2020-05-03
PasswordManager,Fashion & Lifestyle,Kochi,Kerala,10000000.0,Seed,"Tencent, Y Combinator, Amazon",2019-03-27
ChipManufacture,Gaming,Coimbatore,Tamil Nadu,10246750591278.324,Private Equity,"Chiratae Ventures, Lightspeed Venture Partners, DST Global",2017-08-21
FashionForward,Real Estate,Lucknow,Uttar Pradesh,10000000.0,Series A,SAIF Partners,2024-11-24
Metaverse India,IoT,Ahmedabad,Gujarat,10000000.0,Growth Stage,"Falcon Edge, Techstars, Matrix Partners",2016-03-14
GreenBuild,Analytics,Chandigarh,Chandigarh,10000000.0,Private Equity,"Lightspeed Venture Partners, SAIF Partners",2022-11-05
ShopEasy,Cloud Services,Nagpur,Maharashtra,10000000.0,Seed,Chiratae Ventures,2019-07-16
RideShare India,Mobile Apps,Jaipur,Rajasthan,51085500616720.93,Series B,"Google Ventures, Alibaba",2021-06-20
AI Analytics,Automotive,Noida,Uttar Pradesh,42357939639682.58,Series E,"Lightspeed Venture Partners, Kalaari Capital, General Catalyst",2023-03-28
MarketingAI,Automotive,Chandigarh,Chandigarh,18091816881044.133,Debt Financing,Elevation Capital,2022-06-18
PharmEasy Online,Edtech,Lucknow,Uttar Pradesh,10000000.0,Series B,Tiger Global,2024-03-28
MusicStream,Marketing Tech,Chennai,Tamil Nadu,33838742500652.63,Bridge Round,"Blume Ventures, SoftBank Vision Fund, Kalaari Capital",2016-10-07
CryptoTrade India,IoT,Pune,Maharashtra,10000000.0,Seed,"Matrix Partners, 500 Startups",2018-01-20
TrafficManagement,Cybersecurity,Lucknow,Uttar Pradesh,10000000.0,Bridge Round,Tiger Global,2022-09-24
SalesForce India,HR Tech,Nagpur,Maharashtra,10000000.0,Series B,SoftBank Vision Fund,2016-01-05
SkillDevelopment,Consumer Services,Gurgaon,Haryana,10000000.0,Pre-Series A,"Tencent, Lightspeed Venture Partners",2024-03-02
WaterPurify,Mobile Apps,Kochi,Kerala,1706664517800.493,Series C,Accel Partners,2020-03-03
PropertyFinder,Social Media,Kochi,Kerala,10000000.0,Debt Financing,"Tencent, Blume Ventures, Insight Partners",2020-11-23
RecruitmentAI,Real Estate,Nagpur,Maharashtra,3720641539227.0747,Growth Stage,"General Catalyst, Alibaba, AngelList India",2017-06-02
VirtualAssistant India,Consumer Services,Delhi,Delhi,10000000.0,Bridge Round,"Lightspeed Venture Partners, Accel Partners",2015-08-08
CRM Platform,CleanTech,Visakhapatnam,Andhra Pradesh,10000000.0,Growth Stage,"Blume Ventures, Y Combinator",2023-05-11
SmartWatch India,Analytics,Jaipur,Rajasthan,10000000.0,Series A,Tiger Global,2017-07-01
AntiPhishing Co,Social Media,Delhi,Delhi,10000000.0,Series E,Blume Ventures,2018-06-07
FoodDelivery Express,Biotechnology,Mumbai,Maharashtra,10000000.0,Bridge Round,"Lightspeed Venture Partners, Alibaba",2021-11-19
FoodDelivery Express,,Lucknow,Uttar Pradesh,10000000.0,Series C,"Chiratae Ventures, Alpha Wave Incubation",2016-03-26
ShopEasy,Gaming,Bangalore,Karnataka,10000000.0,Series D,500 Startups,2020-05-13
ComplianceTech,Cybersecurity,Jaipur,Rajasthan,10000000.0,Debt Financing,Alibaba,2018-05-26
NLP Solutions,Edtech,Delhi,Delhi,10000000.0,Angel,"Tiger Global, Kalaari Capital, Lightspeed Venture Partners",2018-08-27
ElectroMart,Agritech,Kochi,Kerala,22070692449527.34,Seed,"Elevation Capital, Chiratae Ventures",2022-10-01
WaterPurify,Consumer Services,Ahmedabad,Gujarat,10000000.0,Series E,Chiratae Ventures,2020-08-19
CyberSecurity India,Cloud Services,Coimbatore,Tamil Nadu,10000000.0,Series D,Sequoia Capital,2020-12-07
EventPlanner,Media & Entertainment,Kochi,Kerala,10000000.0,Series B,Matrix Partners,2018-01-25
ElectroMart,AI/ML,Surat,Gujarat,10000000.0,Series A,Alpha Wave Incubation,2015-11-01
ContentCreators Hub,Media & Entertainment,Ahmedabad,Gujarat,10000000.0,Angel,"Naspers, Kalaari Capital, DST Global",2023-04-14
EVCharging Network,IoT,Noida,Uttar Pradesh,10000000.0,Series E,Nexus Venture Partners,2018-03-23
SpeechTech,Blockchain,Visakhapatnam,Andhra Pradesh,10000000.0,Seed,Blume Ventures,2016-01-13
EnergyEfficient,IoT,Pune,Maharashtra,10000000.0,Angel,"Alibaba, General Catalyst",2019-10-05
PharmEasy Online,Gaming,Visakhapatnam,Andhra Pradesh,10000000.0,Series E,"Matrix Partners, Nexus Venture Partners, Y Combinator",2015-07-26
SpaceTech Ventures,Foodtech,Visakhapatnam,Andhra Pradesh,28618196273511.97,Series D,SoftBank Vision Fund,2023-03-21
RideShare India,Healthtech,Coimbatore,Tamil Nadu,10000000.0,Series C,Matrix Partners,2018-05-25
WaterPurify,Agritech,Kolkata,West Bengal,10000000.0,Pre-Series A,Blume Ventures,2021-07-24
BiometricAuth,Healthtech,Lucknow,Uttar Pradesh,75572090594435.23,Private Equity,"Amazon, Google Ventures, DST Global",2021-10-31
ShopEasy,Blockchain,Coimbatore,Tamil Nadu,10000000.0,Private Equity,"Insight Partners, Lightspeed Venture Partners, Amazon",2017-05-15
PasswordManager,Biotechnology,Visakhapatnam,Andhra Pradesh,10000000.0,Seed,"Nexus Venture Partners, Matrix Partners",2015-11-05
VerticalGardens,SaaS,Jaipur,Rajasthan,15023879944961.5,Pre-Series A,"Matrix Partners, Elevation Capital, Sequoia Capital",2023-06-20
AI Analytics,Foodtech,Kolkata,West Bengal,1525910575035212.2,Private Equity,"Alibaba, Tiger Global",2017-06-29
AgriTech Innovations,Cybersecurity,Coimbatore,Tamil Nadu,15852888113213.621,Bridge Round,"Alpha Wave Incubation, Insight Partners",2023-06-25
PetCare,Mobile Apps,Bhopal,Madhya Pradesh,10000000.0,Series B,"Blume Ventures, Matrix Partners",2018-04-29
EnergyEfficient,Social Media,Noida,Uttar Pradesh,10000000.0,Series A,500 Startups,2020-05-26
EventPlanner,Fintech,Visakhapatnam,Andhra Pradesh,10000000.0,Seed,"Matrix Partners, SoftBank Vision Fund, General Catalyst",2023-07-17
DisplayTech,Enterprise Software,Delhi,Delhi,10000000.0,Pre-Series A,"Nexus Venture Partners, Alibaba, General Catalyst",2019-11-01
AgriTech Innovations,Consumer Services,Kolkata,West Bengal,86355648929.8533,Series D,"Blume Ventures, Nexus Venture Partners, Tiger Global",2019-02-16
ShopEasy,Healthtech,Surat,Gujarat,10000000.0,Debt Financing,"Techstars, SAIF Partners, Steadview Capital",2015-02-20
SolarPower Solutions,Logistics,Chennai,Tamil Nadu,10000000.0,Private Equity,"DST Global, Techstars, Insight Partners",2017-05-12
WasteManagement Co,Biotechnology,Bhopal,Madhya Pradesh,10000000.0,Pre-Series A,"Tiger Global, Chiratae Ventures",2015-11-20
VirtualAssistant India,Healthtech,Chandigarh,Chandigarh,10000000.0,Private Equity,Matrix Partners,2016-03-27
CloudServe,Marketing Tech,Mumbai,Maharashtra,10000000.0,Series E,"Sequoia Capital, General Catalyst, Elevation Capital",2015-01-26
CleanEnergy Co,HR Tech,Chandigarh,Chandigarh,10000000.0,Series B,SoftBank Vision Fund,2019-06-13
SkillDevelopment,Renewable Energy,Kochi,Kerala,10000000.0,Series E,"Y Combinator, Tencent",2023-11-27
PayTech Solutions,Enterprise Software,Pune,Maharashtra,10000000.0,Growth Stage,Lightspeed Venture Partners,2020-06-15
TrafficManagement,Logistics,Lucknow,Uttar Pradesh,10000000.0,Series C,Naspers,2016-07-24
PharmEasy Online,SaaS,Chandigarh,Chandigarh,13228317363446.203,Angel,Tiger Global,2018-10-25
TrainingHub,Travel & Hospitality,Kolkata,West Bengal,3168476345836.7075,Series C,,2021-10-13
SocialConnect,Hardware,Hyderabad,Telangana,2679397726977.818,Series D,"Insight Partners, Techstars, Blume Ventures",2016-03-10
SportsFit,Foodtech,Noida,Uttar Pradesh,10000000.0,Series E,"Naspers, Amazon, Y Combinator",2020-10-18
SalesForce India,Cloud Services,Coimbatore,Tamil Nadu,10000000.0,Series C,Tiger Global,2022-12-22
PropertyFinder,Edtech,Gurgaon,Haryana,10000000.0,Bridge Round,Steadview Capital,2020-02-02
InvestSmart,E-commerce,Gurgaon,Haryana,10000000.0,Series D,"Lightspeed Venture Partners, Alibaba",2023-11-18
ShopEasy,SaaS,Visakhapatnam,Andhra Pradesh,10000000.0,Series B,"Sequoia Capital, Google Ventures",2021-04-25
QuickGrocery,Foodtech,Coimbatore,Tamil Nadu,10000000.0,Series D,"Alibaba, Kalaari Capital",2015-04-25
LoanSimple,Logistics,Indore,Madhya Pradesh,10000000.0,Series A,"Naspers, 500 Startups",2015-11-09
JobPortal Pro,Gaming,Hyderabad,Telangana,10000000.0,Angel,Elevation Capital,2023-01-19
PasswordManager,Marketing Tech,Indore,Madhya Pradesh,10000000.0,Series C,"Blume Ventures, Falcon Edge",2024-11-16
MusicStream,Biotechnology,Chandigarh,Chandigarh,10000000.0,Series A,Nexus Venture Partners,2017-03-23
LegalTech,Cloud Services,Surat,Gujarat,10000000.0,Bridge Round,"SoftBank Vision Fund, Accel Partners",2023-06-26
HealthCare Plus,Blockchain,Delhi,Delhi,10000000.0,Series C,"Kalaari Capital, General Catalyst",2019-08-28
AI Analytics,Real Estate,Chandigarh,Chandigarh,10000000.0,Series C,"Y Combinator, Accel Partners",2016-07-14
MediaHub,Enterprise Software,Lucknow,Uttar Pradesh,23030701368595.492,Pre-Series A,"Kalaari Capital, 500 Startups, Sequoia Capital",2017-03-24
CyberSecurity India,Social Media,Ahmedabad,Gujarat,10000000.0,Series E,"Blume Ventures, Lightspeed Venture Partners",2017-05-24
EncryptionTech,Enterprise Software,Hyderabad,Telangana,10000000.0,Series A,Chiratae Ventures,2020-02-17
FoodDelivery Express,Edtech,Bangalore,Karnataka,10000000.0,Seed,"Alpha Wave Incubation, SoftBank Vision Fund, Elevation Capital",2019-04-23
SalesForce India,Consumer Services,Ahmedabad,Gujarat,10000000.0,Series A,"Kalaari Capital, Insight Partners",2022-10-20
PayrollEasy,Automotive,Indore,Madhya Pradesh,10000000.0,Private Equity,"Alibaba, DST Global, AngelList India",2017-05-05
Antivirus Plus,CleanTech,Chandigarh,Chandigarh,10000000.0,Series B,"Alibaba, SoftBank Vision Fund, Accel Partners",2019-02-20
PrivacyGuard,Gaming,Nagpur,Maharashtra,10000000.0,Growth Stage,"Kalaari Capital, Chiratae Ventures",2016-01-16
FashionForward,Healthtech,Hyderabad,Telangana,24377188934300.48,Seed,"SoftBank Vision Fund, Steadview Capital, Techstars",2018-01-27
WasteManagement Co,Social Media,Pune,Maharashtra,10000000.0,Series E,"AngelList India, Naspers, Blume Ventures",2023-11-16
PharmEasy Online,,Kochi,Kerala,10000000.0,Growth Stage,Accel Partners,2017-11-09
QuickGrocery,Automotive,Gurgaon,Haryana,10000000.0,Pre-Series A,"SoftBank Vision Fund, Elevation Capital",2018-03-05
PasswordManager,Enterprise Software,Nagpur,Maharashtra,10000000.0,Pre-Series A,Lightspeed Venture Partners,2019-02-01
VerticalGardens,AI/ML,Bangalore,Karnataka,18699832928334.824,Growth Stage,"Insight Partners, Blume Ventures, Chiratae Ventures",2024-07-23
DigitalArt Platform,Analytics,Ahmedabad,Gujarat,5567128027247.177,Bridge Round,Alibaba,2021-04-17
AI Analytics,Automotive,Visakhapatnam,Andhra Pradesh,10000000.0,Series C,Techstars,2020-09-15
CodingBootcamp,Analytics,Lucknow,Uttar Pradesh,1260622593347.716,Series A,Insight Partners,2022-08-04
PayTech Solutions,Fashion & Lifestyle,Bhopal,Madhya Pradesh,10000000.0,Private Equity,Matrix Partners,2017-07-06
ParkingFinder,Mobile Apps,Ahmedabad,Gujarat,10000000.0,Growth Stage,"Y Combinator, SoftBank Vision Fund, Insight Partners",2015-10-11
IoT Solutions,Cloud Services,Lucknow,Uttar Pradesh,1369589959285.3003,Debt Financing,"Alibaba, Matrix Partners, Blume Ventures",2016-11-08
SportsFit,CleanTech,Indore,Madhya Pradesh,10000000.0,Bridge Round,Google Ventures,2023-03-17
RecruitmentAI,Hardware,Noida,Uttar Pradesh,59723066116382.2,Pre-Series A,"DST Global, Steadview Capital",2016-01-12
SolarPower Solutions,Renewable Energy,Noida,Uttar Pradesh,13507781586730.01,Series E,"Accel Partners, Matrix Partners, Sequoia Capital",2022-06-19
SocialConnect,IoT,Kolkata,West Bengal,10000000.0,Series A,"Lightspeed Venture Partners, Alpha Wave Incubation",2017-12-04
DisplayTech,Enterprise Software,Visakhapatnam,Andhra Pradesh,10000000.0,Private Equity,Elevation Capital,2015-04-04
PayTech Solutions,Edtech,Noida,Uttar Pradesh,10000000.0,Series C,"Sequoia Capital, 500 Startups, Matrix Partners",2021-07-28
SmartCity Solutions,Analytics,Chandigarh,Chandigarh,10000000.0,Angel,"DST Global, AngelList India, Alpha Wave Incubation",2023-11-09
CleanEnergy Co,Foodtech,Bangalore,Karnataka,10000000.0,Pre-Series A,Y Combinator,2023-02-25
SkillDevelopment,CleanTech,Mumbai,Maharashtra,10000000.0,Private Equity,"Kalaari Capital, Techstars",2023-06-19
DroneDelivery,SaaS,Noida,Uttar Pradesh,5881658043225.187,Series C,"Alpha Wave Incubation, Nexus Venture Partners",2015-01-30
PrivacyGuard,Blockchain,Surat,Gujarat,10000000.0,Series C,"Google Ventures, Techstars, 500 Startups",2017-05-11
ShopEasy,Mobile Apps,Nagpur,Maharashtra,10000000.0,Bridge Round,500 Startups,2023-07-08
VR Gaming,Edtech,Coimbatore,Tamil Nadu,10000000.0,Growth Stage,Techstars,2024-01-29
FurnitureWorld,Social Media,Chandigarh,Chandigarh,10000000.0,Series D,"Insight Partners, Techstars, Sequoia Capital",2016-11-14
AutoParts Direct,AI/ML,Pune,Maharashtra,4597075711764.444,Bridge Round,"General Catalyst, Accel Partners",2019-11-03
MarketingAI,Logistics,Delhi,Delhi,4551331716714.882,Debt Financing,"AngelList India, Naspers, 500 Startups",2018-10-05
RiskAnalysis Platform,AI/ML,Bangalore,Karnataka,10000000.0,Pre-Series A,Sequoia Capital,2017-01-08
RideShare India,Agritech,Delhi,Delhi,10000000.0,Growth Stage,500 Startups,2022-03-12
GreenBuild,Fintech,Delhi,Delhi,10000000.0,Seed,"Y Combinator, General Catalyst",2023-10-29
AdTech Solutions,Fintech,Bangalore,Karnataka,10000000.0,Series D,Elevation Capital,2020-03-19
WearableTech,HR Tech,Indore,Madhya Pradesh,10000000.0,Private Equity,General Catalyst,2022-06-15
CodingBootcamp,HR Tech,Kochi,Kerala,793483313559.6525,Seed,Falcon Edge,2024-03-20
AI Analytics,Analytics,Hyderabad,Telangana,54248263245115.62,Angel,Blume Ventures,2017-06-02
InvestSmart,,Kochi,Kerala,10000000.0,Debt Financing,Insight Partners,2021-10-07
BlockchainHub,Consumer Services,Delhi,Delhi,10000000.0,Angel,"Kalaari Capital, Google Ventures",2024-02-11
SmartWatch India,Travel & Hospitality,,Karnataka,10000000.0,Series C,"Google Ventures, Accel Partners, Tencent",2017-08-19
FinanceApp,Travel & Hospitality,Bhopal,Madhya Pradesh,10000000.0,Series D,Tiger Global,2022-09-29
MarketingAI,Cloud Services,Kolkata,West Bengal,10000000.0,Series D,"Accel Partners, Google Ventures, Naspers",2017-11-11
AutoParts Direct,Consumer Services,Indore,Madhya Pradesh,3861454784452.133,Bridge Round,"Kalaari Capital, Nexus Venture Partners, Sequoia Capital",2024-02-10
BookMyService,Social Media,Chandigarh,Chandigarh,10000000.0,Series A,Y Combinator,2016-07-18
TrafficManagement,SaaS,Kochi,Kerala,10000000.0,Debt Financing,"General Catalyst, Google Ventures, Amazon",2019-01-28
LoanSimple,Travel & Hospitality,Chennai,Tamil Nadu,529039215494.59845,Series E,"DST Global, Chiratae Ventures, Alibaba",2018-05-22
PropertyFinder,Automotive,Kochi,Kerala,4588576847222.434,Bridge Round,Tencent,2015-06-27
ComplianceTech,Hardware,Delhi,Delhi,10000000.0,Debt Financing,"500 Startups, Alpha Wave Incubation",2022-10-27
WasteManagement Co,AI/ML,Noida,Uttar Pradesh,10000000.0,Series A,"Tencent, Matrix Partners, Nexus Venture Partners",2016-10-18
WasteManagement Co,HR Tech,Lucknow,Uttar Pradesh,10000000.0,Angel,"Matrix Partners, Accel Partners",2020-05-18
DeepLearning India,SaaS,Hyderabad,Telangana,10000000.0,Growth Stage,"Insight Partners, DST Global",2016-08-11
PropertyFinder,Automotive,Bangalore,Karnataka,10000000.0,Series A,Blume Ventures,2021-03-19
MusicStream,Hardware,Delhi,Delhi,10000000.0,Series A,"500 Startups, Falcon Edge, AngelList India",2022-01-06
Metaverse India,Hardware,Visakhapatnam,Andhra Pradesh,10000000.0,Series B,Falcon Edge,2022-01-16
ShopEasy,Agritech,Chandigarh,Chandigarh,10000000.0,Bridge Round,"Insight Partners, 500 Startups",2018-10-07
QuickGrocery,Logistics,Coimbatore,Tamil Nadu,10000000.0,Series C,"Alibaba, Accel Partners, General Catalyst",2017-11-22
LoanSimple,Healthtech,Hyderabad,Telangana,10000000.0,Private Equity,"DST Global, Google Ventures, SAIF Partners",2019-04-10
SocialConnect,Real Estate,Visakhapatnam,Andhra Pradesh,10000000.0,Series C,"General Catalyst, Alibaba, Naspers",2017-05-05
MediaHub,Real Estate,Chandigarh,Chandigarh,10000000.0,Growth Stage,"DST Global, Nexus Venture Partners",2017-02-24
HomeServices,Mobile Apps,Bhopal,Madhya Pradesh,10000000.0,Seed,"Alpha Wave Incubation, Kalaari Capital",2019-12-07
FinanceApp,Mobile Apps,Noida,Uttar Pradesh,10000000.0,Series E,"Alibaba, SAIF Partners",2019-06-22
SpeechTech,Healthtech,Chandigarh,Chandigarh,10000000.0,Angel,Naspers,2024-07-12
AI Research Lab,Social Media,Mumbai,Maharashtra,10000000.0,Private Equity,Google Ventures,2021-01-05
FashionForward,AI/ML,Gurgaon,Haryana,2909401855039.3857,Bridge Round,Amazon,2023-09-28
AdTech Solutions,Analytics,Kochi,Kerala,10000000.0,Seed,"Google Ventures, Matrix Partners, Alibaba",2015-04-08
LoanSimple,Analytics,Coimbatore,Tamil Nadu,10000000.0,Series C,"Nexus Venture Partners, Elevation Capital, Steadview Capital",2018-11-06
